id	em[keV]	xm[cm]	ym[cm]	zm[cm]	xdm[cm]	ydm[cm]	zdm[cm]
160	1.474569000e+03	-3.315500000e-01	-8.718000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
161	5.109990000e+02	-1.422048166e+05	-4.370082205e+05	3.310000000e+06	8.290000000e-03	-5.743000000e-01	-8.186000000e-01
162	1.295926000e+03	2.756300000e-01	6.637000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
163	1.164790000e+02	3.077362542e+06	3.929392478e+06	3.310000000e+06	9.853800000e-01	-1.223800000e-01	-1.185600000e-01
164	6.584941000e+03	-1.245900000e-01	1.380000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
165	7.368253000e+03	2.412100000e-01	-7.358000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
166	3.915230000e+02	-7.390841198e+05	1.261428389e+06	3.310000000e+06	-4.579400000e-01	7.815900000e-01	-4.235700000e-01
167	3.383315000e+03	-4.717500000e-01	-2.963100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
168	2.459059000e+03	-3.436400000e-01	-1.917600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
169	1.180503000e+03	-2.497187492e+05	-2.971244653e+05	3.310000000e+06	-3.509400000e-01	-4.175700000e-01	-8.381400000e-01
170	2.813311000e+03	3.263212485e+04	1.673416630e+04	3.310000000e+06	3.591800000e-01	1.841900000e-01	-9.149100000e-01
171	3.250454000e+03	-6.114600000e-01	-3.698500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
172	8.289049000e+03	-7.402800000e-01	-1.303900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
173	6.268122000e+03	-1.380100000e-01	-3.736000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
174	7.939243000e+03	1.549400000e-01	-4.797000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
175	5.315689000e+03	7.912715180e+03	6.782842324e+04	3.310000000e+06	1.533000000e-02	1.314000000e-01	-9.912100000e-01
177	6.408982000e+03	-8.313400000e-01	1.675000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
178	3.918268000e+03	8.751500000e-01	3.929200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
180	3.850659000e+03	-6.943700000e-01	1.821000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
181	6.964646000e+03	8.590500000e-01	-2.159000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
182	6.137719000e+03	-5.088700000e-01	5.876100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
183	9.006968000e+03	2.957400000e-01	-4.347400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
184	6.799440000e+02	-4.588097203e+06	1.142416839e+06	3.310000000e+06	-8.222500000e-01	2.047400000e-01	-5.310300000e-01
185	4.975120000e+02	-7.638513144e+04	2.219746618e+05	3.310000000e+06	3.298000000e-01	-8.110000000e-03	-9.440100000e-01
186	4.333786000e+03	5.318000000e-01	4.072600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
188	2.103365000e+03	-1.991910362e+05	8.633372837e+04	3.310000000e+06	-4.960100000e-01	2.149800000e-01	-8.412900000e-01
189	4.492386000e+03	5.836200000e-01	7.523000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
190	2.796718000e+03	1.398758921e+05	7.956163775e+04	3.310000000e+06	2.110300000e-01	1.200400000e-01	-9.700800000e-01
191	5.958494000e+03	3.387700000e-01	-1.219400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
192	4.945802000e+03	-5.544500000e-01	-7.324700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
193	1.130661000e+03	1.402598293e+06	4.460157411e+05	3.310000000e+06	7.601400000e-01	2.417200000e-01	-6.031300000e-01
194	4.203518000e+03	-2.619500000e-01	-6.361400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
196	1.352321000e+03	-2.909300000e-01	-6.549900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
197	6.055544000e+03	-4.826600000e-01	8.619700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
198	8.364890000e+02	-5.155200000e-01	-2.721400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
199	8.757206000e+03	2.346500000e-01	4.264000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
200	4.831503000e+03	-4.447700000e-01	-6.430000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
201	3.046900000e+03	3.565600000e-01	-4.710000000e-03	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
202	8.659605000e+03	6.204300000e-01	2.541500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
204	1.171750000e+03	8.560600000e-01	-4.520000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
205	7.253264000e+03	-5.531000000e-02	-5.812300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
206	7.233505000e+03	-6.013200000e-01	2.649000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
207	5.838707000e+03	-5.609200000e-01	5.826100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
208	1.783930000e+02	1.692800000e-01	-8.092300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
209	5.984828000e+03	-3.465700000e-01	-1.677400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
210	1.823617000e+03	2.416963757e+05	-1.201560898e+05	3.310000000e+06	3.061700000e-01	-1.522100000e-01	-9.397300000e-01
211	9.298489000e+03	-2.226000000e-01	1.951900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
212	3.920216000e+03	-7.537300000e-01	-2.706000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
213	1.887742000e+03	-3.447500000e-01	2.681000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
214	7.840623000e+03	-3.333300000e-01	2.900100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
215	9.516286000e+03	-1.721900000e-01	-6.000300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
216	8.662676000e+03	2.602200000e-01	-4.954400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
217	4.864570000e+02	1.221000000e-02	-4.239500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
218	4.159923000e+03	-2.877600000e-01	-3.325400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
219	6.231338000e+03	-7.551700000e-01	1.261600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
220	7.721790000e+02	1.051000000e-02	6.264300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
221	8.893740000e+02	-1.049078620e+03	2.693917082e+04	3.310000000e+06	-1.963000000e-02	5.039300000e-01	-8.635200000e-01
222	2.610852000e+03	-1.752000000e-02	7.719900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
223	3.672677000e+03	8.128400000e-01	-1.890400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
