altitude[km]	mass_density[kg/m3]	N2[m-3]	O2[m-3]	O[m-3]	He[m-3]	H[m-3]	Ar[m-3]	N[m-3]	anomalous_oxygen[m-3]	NO[m-3]	Temperature[k]
1.228000e+02	1.021265e-08	1.676444e+17	2.674976e+16	3.571875e+16	2.447618e+13	4.435480e+12	6.600323e+14	4.737399e+11	1.328885e-30	1.389222e+13	4.341841e+02
1.229000e+02	1.011035e-08	1.659460e+17	2.642971e+16	3.550488e+16	2.438622e+13	4.407182e+12	6.509174e+14	4.788028e+11	1.514962e-30	1.382856e+13	4.354270e+02
1.230000e+02	1.000960e-08	1.642731e+17	2.611482e+16	3.529369e+16	2.429731e+13	4.379203e+12	6.419661e+14	4.839203e+11	1.726817e-30	1.376630e+13	4.366613e+02
1.231000e+02	9.910313e-09	1.626246e+17	2.580487e+16	3.508470e+16	2.420942e+13	4.351562e+12	6.331719e+14	4.890910e+11	1.967924e-30	1.370530e+13	4.378871e+02
1.232000e+02	9.812514e-09	1.610007e+17	2.550007e+16	3.487814e+16	2.412255e+13	4.324235e+12	6.245363e+14	4.943168e+11	2.242267e-30	1.364560e+13	4.391046e+02
1.233000e+02	9.716097e-09	1.593996e+17	2.519981e+16	3.467411e+16	2.403672e+13	4.297210e+12	6.160441e+14	4.995984e+11	2.554291e-30	1.358722e+13	4.403140e+02
1.234000e+02	9.621139e-09	1.578227e+17	2.490459e+16	3.447217e+16	2.395180e+13	4.270504e+12	6.077040e+14	5.049359e+11	2.909335e-30	1.353006e+13	4.415152e+02
1.235000e+02	9.527526e-09	1.562679e+17	2.461403e+16	3.427256e+16	2.386794e+13	4.244100e+12	5.995084e+14	5.103281e+11	3.312946e-30	1.347423e+13	4.427083e+02
1.236000e+02	9.435267e-09	1.547357e+17	2.432783e+16	3.407507e+16	2.378497e+13	4.217994e+12	5.914514e+14	5.157740e+11	3.771859e-30	1.341975e+13	4.438936e+02
1.237000e+02	9.344328e-09	1.532253e+17	2.404619e+16	3.387993e+16	2.370295e+13	4.192167e+12	5.835347e+14	5.212777e+11	4.293752e-30	1.336652e+13	4.450712e+02
1.238000e+02	9.254638e-09	1.517355e+17	2.376883e+16	3.368659e+16	2.362182e+13	4.166631e+12	5.757488e+14	5.268337e+11	4.886738e-30	1.331458e+13	4.462412e+02
1.239000e+02	9.166209e-09	1.502666e+17	2.349577e+16	3.349528e+16	2.354158e+13	4.141371e+12	5.680954e+14	5.324433e+11	5.560642e-30	1.326391e+13	4.474037e+02
1.240000e+02	9.079076e-09	1.488193e+17	2.322699e+16	3.330606e+16	2.346219e+13	4.116398e+12	5.605737e+14	5.381074e+11	6.326321e-30	1.321457e+13	4.485590e+02
