id	ei[keV]	xi[cm]	yi[cm]	zi[cm]	xdi[cm]	ydi[cm]	zdi[cm]
83	3.567281000e+03	-3.429900000e-01	-1.746800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
84	4.295674000e+03	1.036100000e-01	5.535000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
85	3.468369000e+03	5.257500000e-01	-6.488500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
86	8.026829000e+03	7.735400000e-01	4.645200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
87	7.829191000e+03	5.630100000e-01	-6.938700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
88	6.216516000e+03	8.345000000e-02	6.301400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
89	6.022400000e+03	2.048000000e-01	-1.772100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
90	2.131459000e+03	3.897300000e-01	7.464200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
91	6.319931000e+03	1.797300000e-01	-1.304900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
92	9.699251000e+03	-2.285600000e-01	3.921300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
93	3.577266000e+03	-2.927900000e-01	7.252000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
94	3.622689000e+03	5.004000000e-01	-5.237300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
95	2.201030000e+02	7.379600000e-01	5.947100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
96	2.619215000e+03	-5.792000000e-02	-1.816200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
97	2.562423000e+03	8.120400000e-01	-2.095700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
98	1.509145000e+03	-9.694000000e-02	2.038900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
99	8.427379000e+03	1.577500000e-01	5.148000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
100	5.820666000e+03	-4.782800000e-01	-4.728200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
101	2.402443000e+03	6.276800000e-01	1.389500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
102	2.557838000e+03	-2.705900000e-01	-8.358700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
103	9.586583000e+03	-2.606800000e-01	-3.146400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
104	7.662670000e+03	4.935400000e-01	-4.285300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
105	8.624360000e+02	-8.984000000e-02	2.841500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
106	9.414980000e+03	-5.814500000e-01	5.601600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
107	1.768406000e+03	-4.351800000e-01	-1.247700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
108	4.882760000e+02	3.478900000e-01	-4.939700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
109	5.548870000e+02	3.527000000e-01	-2.270300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
110	9.843671000e+03	-6.402400000e-01	6.394600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
111	7.974644000e+03	8.810000000e-03	-1.649400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
112	5.558204000e+03	6.633100000e-01	-7.182800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
113	8.972989000e+03	-8.622000000e-02	-3.521400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
114	8.205284000e+03	3.993600000e-01	4.919100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
115	3.259314000e+03	-8.545400000e-01	-3.722500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
116	3.337911000e+03	-2.256300000e-01	4.440100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
117	9.654458000e+03	6.652500000e-01	4.316400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
118	8.148570000e+03	1.271100000e-01	1.906000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
119	7.762538000e+03	6.753900000e-01	1.543500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
120	5.605491000e+03	4.627700000e-01	9.355000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
121	5.996219000e+03	3.158800000e-01	4.873400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
122	9.652501000e+03	7.109500000e-01	4.835600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
123	5.782600000e+02	5.124100000e-01	5.408000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
124	1.241160000e+02	2.283100000e-01	-8.819800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
125	6.691167000e+03	-2.692400000e-01	-7.245200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
126	5.167577000e+03	6.641700000e-01	7.362700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
127	5.942490000e+03	3.251500000e-01	2.044100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
128	5.388290000e+03	-9.664200000e-01	-4.979000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
129	2.181572000e+03	6.917000000e-01	4.047400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
130	3.091460000e+03	8.871400000e-01	3.911000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
131	6.167517000e+03	-2.380900000e-01	6.368100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
132	9.316029000e+03	4.650300000e-01	-6.425900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
133	7.395732000e+03	-5.581900000e-01	-2.906400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
134	9.165498000e+03	-4.861800000e-01	-2.843200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
135	3.918572000e+03	5.681700000e-01	-4.328100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
136	4.436185000e+03	6.594000000e-02	5.080500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
137	4.767291000e+03	9.757000000e-02	2.895300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
138	7.828364000e+03	-6.689800000e-01	-2.079800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
139	7.457301000e+03	7.171000000e-02	6.894000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
140	5.699150000e+03	-4.289900000e-01	-3.996300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
141	1.032875000e+03	-3.972800000e-01	3.617000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
142	9.590210000e+03	-7.783400000e-01	4.432900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
143	3.012913000e+03	-1.709100000e-01	-6.719200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
144	1.148567000e+03	4.019500000e-01	-2.133000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
145	6.233726000e+03	3.859900000e-01	8.324800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
146	2.966926000e+03	7.840100000e-01	-1.657000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
147	2.090198000e+03	-5.347500000e-01	3.991200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
148	1.433814000e+03	-4.352200000e-01	6.201900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
